"time (m)","v","wh"
    0.0,49.33
0.01,48.48,   0.0
0.02,48.44,   0.0
0.03,48.42,   0.1
0.04,48.41,   0.1
0.05,48.39,   0.1
0.07,48.37,   0.2
0.09,48.35,   0.2
0.11,48.34,   0.3
0.12,48.33,   0.3
0.13,48.32,   0.3
0.14,48.31,   0.3
0.16,48.30,   0.4
0.17,48.29,   0.4
0.18,48.28,   0.4
0.20,48.27,   0.5
0.21,48.26,   0.5
0.23,48.25,   0.5
0.24,48.24,   0.6
0.25,48.23,   0.6
0.27,48.22,   0.6
0.28,48.21,   0.7
0.30,48.20,   0.7
0.31,48.19,   0.7
0.33,48.18,   0.8
0.35,48.17,   0.8
0.37,48.16,   0.9
0.39,48.15,   0.9
0.41,48.14,   1.0
0.43,48.13,   1.0
0.45,48.12,   1.1
0.46,48.11,   1.1
0.48,48.10,   1.2
0.49,48.09,   1.2
0.52,48.08,   1.3
0.53,48.07,   1.3
0.55,48.06,   1.3
0.58,48.05,   1.4
0.59,48.04,   1.4
0.62,48.03,   1.5
0.63,48.02,   1.5
0.66,48.01,   1.6
0.67,48.00,   1.6
0.70,47.99,   1.7
0.72,47.98,   1.7
0.74,47.97,   1.8
0.77,47.96,   1.8
0.78,47.95,   1.9
0.80,47.94,   1.9
0.82,47.93,   2.0
0.84,47.92,   2.0
0.87,47.91,   2.1
0.90,47.90,   2.2
0.92,47.89,   2.2
0.95,47.88,   2.3
0.97,47.87,   2.3
0.99,47.86,   2.4
1.01,47.85,   2.4
1.02,47.84,   2.5
1.06,47.83,   2.5
1.07,47.82,   2.6
1.10,47.81,   2.6
1.12,47.80,   2.7
1.15,47.79,   2.8
1.17,47.78,   2.8
1.18,47.77,   2.8
1.22,47.76,   2.9
1.24,47.75,   3.0
1.29,47.74,   3.1
1.31,47.73,   3.1
1.32,47.72,   3.2
1.36,47.71,   3.2
1.39,47.70,   3.3
1.42,47.69,   3.4
1.43,47.68,   3.4
1.45,47.67,   3.5
1.50,47.66,   3.6
1.51,47.65,   3.6
1.55,47.64,   3.7
1.58,47.63,   3.8
1.60,47.62,   3.8
1.63,47.61,   3.9
1.66,47.60,   3.9
1.68,47.59,   4.0
1.73,47.58,   4.1
1.74,47.57,   4.1
1.78,47.56,   4.2
1.79,47.55,   4.3
1.83,47.54,   4.3
1.85,47.53,   4.4
1.87,47.52,   4.4
1.91,47.51,   4.5
1.94,47.50,   4.6
1.97,47.49,   4.7
2.00,47.48,   4.8
2.03,47.47,   4.8
2.04,47.46,   4.8
2.09,47.45,   5.0
2.11,47.44,   5.0
2.13,47.43,   5.1
2.16,47.42,   5.1
2.19,47.41,   5.2
2.23,47.40,   5.3
2.26,47.39,   5.4
2.28,47.38,   5.4
2.31,47.37,   5.5
2.35,47.36,   5.6
2.39,47.35,   5.7
2.41,47.34,   5.7
2.44,47.33,   5.8
2.48,47.32,   5.9
2.50,47.31,   5.9
2.54,47.30,   6.0
2.58,47.29,   6.1
2.60,47.28,   6.1
2.64,47.27,   6.2
