"time (m)","v","wh"
0,47.26,0
  0.01,46.59,   0.0
  0.02,46.57,   0.0
  0.03,46.55,   0.1
  0.05,46.54,   0.1
  0.06,46.53,   0.1
  0.07,46.52,   0.2
  0.08,46.51,   0.2
  0.09,46.50,   0.2
  0.11,46.49,   0.2
  0.12,46.48,   0.3
  0.14,46.47,   0.3
  0.15,46.46,   0.3
  0.16,46.45,   0.4
  0.18,46.44,   0.4
  0.21,46.42,   0.5
  0.22,46.41,   0.5
  0.26,46.40,   0.6
  0.28,46.39,   0.6
  0.29,46.38,   0.6
  0.31,46.37,   0.7
  0.33,46.36,   0.7
  0.36,46.35,   0.8
  0.38,46.34,   0.9
  0.39,46.33,   0.9
  0.40,46.32,   0.9
  0.43,46.31,   1.0
  0.45,46.30,   1.0
  0.48,46.29,   1.1
  0.49,46.28,   1.1
  0.52,46.27,   1.2
  0.54,46.26,   1.2
  0.57,46.25,   1.3
  0.59,46.24,   1.3
  0.62,46.23,   1.4
  0.65,46.22,   1.4
  0.67,46.21,   1.5
  0.69,46.20,   1.5
  0.72,46.19,   1.6
  0.74,46.18,   1.7
  0.77,46.17,   1.7
  0.80,46.16,   1.8
  0.82,46.15,   1.8
  0.84,46.14,   1.9
  0.87,46.13,   1.9
  0.88,46.12,   2.0
  0.92,46.11,   2.0
  0.94,46.10,   2.1
  0.97,46.09,   2.2
  0.98,46.08,   2.2
  1.02,46.07,   2.3
  1.04,46.06,   2.3
  1.08,46.05,   2.4
  1.10,46.04,   2.4
  1.13,46.03,   2.5
  1.16,46.02,   2.6
  1.18,46.01,   2.6
  1.22,46.00,   2.7
  1.24,45.99,   2.8
  1.26,45.98,   2.8
  1.30,45.97,   2.9
  1.33,45.96,   2.9
  1.37,45.95,   3.0
  1.38,45.94,   3.1
  1.41,45.93,   3.1
  1.45,45.92,   3.2
  1.48,45.91,   3.3
  1.52,45.90,   3.4
  1.54,45.89,   3.4
  1.57,45.88,   3.5
  1.60,45.87,   3.5
  1.64,45.86,   3.6
  1.66,45.85,   3.7
  1.69,45.84,   3.7
  1.72,45.83,   3.8
  1.76,45.82,   3.9
  1.78,45.81,   3.9
  1.81,45.80,   4.0
  1.84,45.79,   4.1
  1.89,45.78,   4.2
  1.92,45.77,   4.2
  1.96,45.76,   4.3
  1.99,45.75,   4.4
  2.02,45.74,   4.4
  2.04,45.73,   4.5
  2.08,45.72,   4.6
  2.11,45.71,   4.6
  2.14,45.70,   4.7
  2.17,45.69,   4.8
  2.23,45.68,   4.9
  2.25,45.67,   4.9
  2.28,45.66,   5.0
  2.31,45.65,   5.1
  2.33,45.64,   5.1
  2.38,45.63,   5.2
  2.40,45.62,   5.3
  2.45,45.61,   5.4
  2.50,45.60,   5.5
  2.53,45.59,   5.5
  2.56,45.58,   5.6
  2.62,45.57,   5.7
  2.64,45.56,   5.8
  2.66,45.55,   5.8
  2.70,45.54,   5.9
  2.72,45.53,   6.0
  2.78,45.52,   6.1
  2.81,45.51,   6.1
  2.87,45.50,   6.3
  2.89,45.49,   6.3
  2.95,45.48,   6.4
  2.98,45.47,   6.5
  3.01,45.46,   6.6
  3.05,45.45,   6.7
  3.08,45.44,   6.7
  3.14,45.43,   6.8
  3.18,45.42,   6.9
  3.21,45.41,   7.0
  3.23,45.40,   7.1
  3.29,45.39,   7.2
  3.32,45.38,   7.2
  3.36,45.37,   7.3
  3.40,45.36,   7.4
  3.44,45.35,   7.5
  3.48,45.34,   7.6
  3.53,45.33,   7.7
  3.58,45.32,   7.8
  3.60,45.31,   7.8
  3.65,45.30,   7.9
  3.69,45.29,   8.0
  3.73,45.28,   8.1
  3.76,45.27,   8.2
  3.80,45.26,   8.3
  3.87,45.25,   8.4
  3.90,45.24,   8.5
  3.96,45.23,   8.6
  3.99,45.22,   8.7
  4.01,45.21,   8.7
  4.07,45.20,   8.8
  4.11,45.19,   8.9
  4.16,45.18,   9.0
  4.20,45.17,   9.1
  4.25,45.16,   9.2
  4.29,45.15,   9.3
  4.33,45.14,   9.4
  4.36,45.13,   9.4
  4.43,45.12,   9.6
  4.46,45.11,   9.6
  4.51,45.10,   9.8
  4.58,45.09,   9.9
  4.60,45.08,   9.9
  4.64,45.07,  10.0
  4.69,45.06,  10.1
  4.76,45.05,  10.3
  4.79,45.04,  10.3
  4.82,45.03,  10.4
  4.89,45.02,  10.5
  4.93,45.01,  10.6
  4.98,45.00,  10.7
  5.03,44.99,  10.8
  5.07,44.98,  10.9
  5.10,44.97,  11.0
  5.16,44.96,  11.1
  5.20,44.95,  11.2
  5.26,44.94,  11.3
  5.32,44.93,  11.4
  5.34,44.92,  11.5
  5.41,44.91,  11.7
  5.45,44.90,  11.7
  5.51,44.89,  11.9
  5.56,44.88,  12.0
  5.60,44.87,  12.0
  5.65,44.86,  12.1
  5.69,44.85,  12.2
  5.77,44.84,  12.4
  5.79,44.83,  12.4
  5.87,44.82,  12.6
  5.90,44.81,  12.7
  5.98,44.80,  12.8
  6.03,44.79,  12.9
  6.06,44.78,  13.0
  6.12,44.77,  13.1
  6.16,44.76,  13.2
  6.22,44.75,  13.3
  6.28,44.74,  13.4
  6.33,44.73,  13.5
  6.37,44.72,  13.6
  6.45,44.71,  13.8
  6.48,44.70,  13.9
  6.53,44.69,  14.0
  6.60,44.68,  14.1
  6.65,44.67,  14.2
