"time (m)","v","wh"
0,48.18,0
  0.01,47.36,   0.0
  0.02,47.34,   0.0
  0.03,47.32,   0.1
  0.04,47.30,   0.1
  0.05,47.29,   0.1
  0.06,47.28,   0.1
  0.07,47.27,   0.2
  0.08,47.26,   0.2
  0.09,47.25,   0.2
  0.10,47.24,   0.2
  0.11,47.23,   0.3
  0.12,47.22,   0.3
  0.13,47.21,   0.3
  0.15,47.20,   0.3
  0.16,47.19,   0.4
  0.18,47.18,   0.4
  0.19,47.17,   0.4
  0.20,47.16,   0.5
  0.21,47.15,   0.5
  0.23,47.14,   0.5
  0.24,47.13,   0.6
  0.26,47.12,   0.6
  0.29,47.11,   0.7
  0.30,47.10,   0.7
  0.32,47.09,   0.7
  0.33,47.08,   0.8
  0.34,47.07,   0.8
  0.37,47.06,   0.9
  0.38,47.05,   0.9
  0.40,47.04,   0.9
  0.41,47.03,   0.9
  0.44,47.02,   1.0
  0.46,47.01,   1.1
  0.48,47.00,   1.1
  0.49,46.99,   1.1
  0.51,46.98,   1.2
  0.53,46.97,   1.2
  0.55,46.96,   1.3
  0.57,46.95,   1.3
  0.59,46.94,   1.4
  0.61,46.93,   1.4
  0.63,46.92,   1.4
  0.65,46.91,   1.5
  0.68,46.90,   1.6
  0.69,46.89,   1.6
  0.72,46.88,   1.6
  0.74,46.87,   1.7
  0.76,46.86,   1.7
  0.78,46.85,   1.8
  0.81,46.84,   1.9
  0.82,46.83,   1.9
  0.84,46.82,   1.9
  0.86,46.81,   2.0
  0.88,46.80,   2.0
  0.92,46.79,   2.1
  0.93,46.78,   2.1
  0.97,46.77,   2.2
  0.98,46.76,   2.2
  1.00,46.75,   2.3
  1.03,46.74,   2.4
  1.05,46.73,   2.4
  1.07,46.72,   2.4
  1.10,46.71,   2.5
  1.13,46.70,   2.6
  1.15,46.69,   2.6
  1.18,46.68,   2.7
  1.21,46.67,   2.8
  1.23,46.66,   2.8
  1.24,46.65,   2.8
  1.26,46.64,   2.9
  1.30,46.63,   3.0
  1.31,46.62,   3.0
  1.35,46.61,   3.1
  1.38,46.60,   3.1
  1.40,46.59,   3.2
  1.43,46.58,   3.2
  1.45,46.57,   3.3
  1.48,46.56,   3.4
  1.50,46.55,   3.4
  1.51,46.54,   3.4
  1.53,46.53,   3.5
  1.57,46.52,   3.6
  1.60,46.51,   3.6
  1.63,46.50,   3.7
  1.65,46.49,   3.8
  1.67,46.48,   3.8
  1.71,46.47,   3.9
  1.74,46.46,   4.0
  1.76,46.45,   4.0
  1.79,46.44,   4.1
  1.84,46.43,   4.2
  1.86,46.42,   4.2
  1.87,46.41,   4.2
  1.91,46.40,   4.3
  1.93,46.39,   4.4
  1.97,46.38,   4.5
  1.99,46.37,   4.5
  2.02,46.36,   4.6
  2.05,46.35,   4.6
  2.09,46.34,   4.7
  2.11,46.33,   4.8
  2.13,46.32,   4.8
  2.16,46.31,   4.9
  2.18,46.30,   4.9
  2.23,46.29,   5.0
  2.26,46.28,   5.1
  2.30,46.27,   5.2
  2.31,46.26,   5.2
  2.35,46.25,   5.3
  2.37,46.24,   5.3
  2.41,46.23,   5.4
  2.44,46.22,   5.5
  2.46,46.21,   5.5
  2.49,46.20,   5.6
  2.51,46.19,   5.7
  2.56,46.18,   5.8
  2.58,46.17,   5.8
  2.62,46.16,   5.9
  2.64,46.15,   5.9
  2.69,46.14,   6.1
  2.72,46.13,   6.1
  2.74,46.12,   6.2
  2.78,46.11,   6.3
  2.81,46.10,   6.3
  2.85,46.09,   6.4
  2.87,46.08,   6.5
  2.91,46.07,   6.5
