"time (m)","v","wh"
0,47.90,0
  0.01,47.11,   0.0
  0.02,47.07,   0.0
  0.03,47.06,   0.1
  0.04,47.04,   0.1
  0.05,47.03,   0.1
  0.06,47.02,   0.1
  0.07,47.01,   0.2
  0.08,47.00,   0.2
  0.09,46.99,   0.2
  0.10,46.98,   0.2
  0.11,46.97,   0.2
  0.13,46.96,   0.3
  0.14,46.95,   0.3
  0.15,46.94,   0.3
  0.17,46.93,   0.4
  0.18,46.92,   0.4
  0.20,46.91,   0.4
  0.20,46.90,   0.5
  0.22,46.89,   0.5
  0.24,46.88,   0.6
  0.26,46.87,   0.6
  0.27,46.86,   0.6
  0.29,46.85,   0.7
  0.30,46.84,   0.7
  0.33,46.83,   0.8
  0.34,46.82,   0.8
  0.36,46.81,   0.8
  0.38,46.80,   0.9
  0.40,46.79,   0.9
  0.42,46.78,   1.0
  0.43,46.77,   1.0
  0.46,46.76,   1.0
  0.47,46.75,   1.1
  0.50,46.74,   1.1
  0.52,46.73,   1.2
  0.54,46.72,   1.2
  0.55,46.71,   1.2
  0.57,46.70,   1.3
  0.60,46.69,   1.4
  0.61,46.68,   1.4
  0.63,46.67,   1.4
  0.65,46.66,   1.5
  0.68,46.65,   1.5
  0.70,46.64,   1.6
  0.73,46.63,   1.6
  0.74,46.62,   1.7
  0.77,46.61,   1.7
  0.79,46.60,   1.8
  0.81,46.59,   1.8
  0.83,46.58,   1.9
  0.86,46.57,   1.9
  0.88,46.56,   2.0
  0.90,46.55,   2.0
  0.92,46.54,   2.1
  0.94,46.53,   2.1
  0.97,46.52,   2.2
  0.99,46.51,   2.2
  1.02,46.50,   2.3
  1.05,46.49,   2.4
  1.06,46.48,   2.4
  1.09,46.47,   2.5
  1.11,46.46,   2.5
  1.14,46.45,   2.6
  1.16,46.44,   2.6
  1.20,46.43,   2.7
  1.22,46.42,   2.8
  1.24,46.41,   2.8
  1.26,46.40,   2.8
  1.28,46.39,   2.9
  1.31,46.38,   3.0
  1.33,46.37,   3.0
  1.37,46.36,   3.1
  1.39,46.35,   3.1
  1.42,46.34,   3.2
  1.44,46.33,   3.2
  1.46,46.32,   3.3
  1.50,46.31,   3.4
  1.52,46.30,   3.4
  1.55,46.29,   3.5
  1.56,46.28,   3.5
  1.61,46.27,   3.6
  1.63,46.26,   3.7
  1.67,46.25,   3.7
  1.69,46.24,   3.8
  1.72,46.23,   3.9
  1.75,46.22,   3.9
  1.78,46.21,   4.0
  1.80,46.20,   4.0
  1.83,46.19,   4.1
  1.87,46.18,   4.2
  1.88,46.17,   4.2
  1.93,46.16,   4.3
  1.95,46.15,   4.4
  1.98,46.14,   4.4
  2.01,46.13,   4.5
  2.03,46.12,   4.5
  2.07,46.11,   4.6
  2.10,46.10,   4.7
  2.13,46.09,   4.8
  2.15,46.08,   4.8
  2.20,46.07,   4.9
  2.21,46.06,   4.9
  2.24,46.05,   5.0
  2.27,46.04,   5.1
  2.29,46.03,   5.1
  2.32,46.02,   5.2
  2.37,46.01,   5.3
  2.39,46.00,   5.3
  2.43,45.99,   5.4
  2.44,45.98,   5.5
  2.48,45.97,   5.5
  2.52,45.96,   5.6
  2.55,45.95,   5.7
  2.57,45.94,   5.7
  2.60,45.93,   5.8
  2.63,45.92,   5.9
  2.68,45.91,   6.0
  2.72,45.90,   6.1
  2.74,45.89,   6.1
  2.78,45.88,   6.2
  2.82,45.87,   6.3
  2.85,45.86,   6.3
  2.87,45.85,   6.4
  2.92,45.84,   6.5
  2.95,45.83,   6.6
