"time (m)","v","wh"
0,48.69,0
  0.01,47.68,   0.0
  0.02,47.67,   0.0
  0.03,47.64,   0.1
  0.04,47.62,   0.1
  0.05,47.61,   0.1
  0.06,47.59,   0.1
  0.07,47.58,   0.2
  0.08,47.57,   0.2
  0.09,47.56,   0.2
  0.11,47.54,   0.3
  0.13,47.52,   0.3
  0.14,47.51,   0.3
  0.15,47.50,   0.3
  0.16,47.49,   0.4
  0.17,47.48,   0.4
  0.19,47.47,   0.4
  0.20,47.46,   0.5
  0.21,47.45,   0.5
  0.22,47.44,   0.5
  0.23,47.43,   0.5
  0.24,47.42,   0.6
  0.25,47.41,   0.6
  0.27,47.40,   0.6
  0.28,47.39,   0.6
  0.29,47.38,   0.7
  0.31,47.36,   0.7
  0.32,47.35,   0.8
  0.34,47.34,   0.8
  0.35,47.33,   0.8
  0.37,47.32,   0.9
  0.38,47.31,   0.9
  0.40,47.30,   0.9
  0.41,47.29,   1.0
  0.42,47.28,   1.0
  0.45,47.27,   1.1
  0.46,47.26,   1.1
  0.47,47.25,   1.1
  0.49,47.24,   1.1
  0.50,47.23,   1.2
  0.52,47.22,   1.2
  0.54,47.21,   1.3
  0.55,47.20,   1.3
  0.56,47.19,   1.3
  0.57,47.18,   1.3
  0.59,47.17,   1.4
  0.60,47.16,   1.4
  0.63,47.15,   1.5
  0.65,47.14,   1.5
  0.66,47.13,   1.5
  0.68,47.12,   1.6
  0.70,47.11,   1.6
  0.70,47.10,   1.6
  0.72,47.09,   1.7
  0.74,47.08,   1.7
  0.75,47.07,   1.8
  0.76,47.06,   1.8
  0.78,47.05,   1.8
  0.80,47.04,   1.9
  0.82,47.03,   1.9
  0.84,47.02,   2.0
  0.85,47.01,   2.0
  0.87,47.00,   2.0
  0.89,46.99,   2.1
  0.91,46.98,   2.1
  0.93,46.97,   2.1
  0.95,46.96,   2.2
  0.97,46.95,   2.2
  0.99,46.94,   2.3
  1.01,46.93,   2.3
  1.03,46.92,   2.4
  1.04,46.91,   2.4
  1.06,46.90,   2.4
  1.08,46.89,   2.5
  1.09,46.88,   2.5
  1.12,46.87,   2.6
  1.14,46.86,   2.6
  1.16,46.85,   2.7
  1.18,46.84,   2.7
  1.19,46.83,   2.8
  1.21,46.82,   2.8
  1.22,46.81,   2.8
  1.24,46.80,   2.9
  1.26,46.79,   2.9
  1.28,46.78,   3.0
  1.30,46.77,   3.0
  1.33,46.76,   3.1
  1.34,46.75,   3.1
  1.36,46.74,   3.1
  1.39,46.73,   3.2
  1.41,46.72,   3.2
  1.42,46.71,   3.3
  1.45,46.70,   3.3
  1.48,46.69,   3.4
  1.49,46.68,   3.4
  1.52,46.67,   3.5
  1.53,46.66,   3.5
  1.57,46.65,   3.6
  1.59,46.64,   3.6
  1.61,46.63,   3.7
  1.62,46.62,   3.7
