"time (m)","v","wh"
0,50.25,0
  0.01,46.45,   0.0
  0.02,46.43,   0.0
  0.03,46.42,   0.1
  0.04,46.40,   0.1
  0.05,46.39,   0.1
  0.06,46.37,   0.1
  0.07,46.36,   0.2
  0.08,46.35,   0.2
  0.09,46.33,   0.2
  0.10,46.32,   0.2
  0.11,46.31,   0.2
  0.12,46.30,   0.3
  0.13,46.29,   0.3
  0.14,46.28,   0.3
  0.15,46.27,   0.3
  0.16,46.26,   0.4
  0.17,46.25,   0.4
  0.18,46.24,   0.4
  0.19,46.23,   0.4
  0.20,46.22,   0.5
  0.21,46.21,   0.5
  0.22,46.20,   0.5
  0.24,46.19,   0.5
  0.25,46.18,   0.6
  0.26,46.17,   0.6
  0.27,46.16,   0.6
  0.28,46.15,   0.6
  0.29,46.14,   0.6
  0.30,46.13,   0.7
  0.31,46.12,   0.7
  0.33,46.11,   0.7
  0.34,46.10,   0.8
  0.36,46.09,   0.8
  0.37,46.08,   0.8
  0.38,46.07,   0.8
  0.40,46.06,   0.9
  0.41,46.05,   0.9
  0.42,46.04,   0.9
  0.43,46.03,   1.0
  0.44,46.02,   1.0
  0.46,46.01,   1.0
  0.48,46.00,   1.1
  0.49,45.99,   1.1
  0.50,45.98,   1.1
  0.51,45.97,   1.1
  0.53,45.96,   1.2
  0.55,45.95,   1.2
  0.56,45.94,   1.2
  0.58,45.93,   1.3
  0.60,45.92,   1.3
  0.61,45.91,   1.3
  0.62,45.90,   1.4
  0.63,45.89,   1.4
  0.65,45.88,   1.4
  0.66,45.87,   1.5
  0.68,45.86,   1.5
  0.70,45.85,   1.5
  0.72,45.84,   1.6
  0.73,45.83,   1.6
  0.74,45.82,   1.6
  0.76,45.81,   1.7
  0.77,45.80,   1.7
  0.78,45.79,   1.7
  0.80,45.78,   1.8
  0.82,45.77,   1.8
  0.84,45.76,   1.8
  0.85,45.75,   1.9
  0.87,45.74,   1.9
  0.89,45.73,   1.9
  0.91,45.72,   2.0
  0.92,45.71,   2.0
  0.93,45.70,   2.0
  0.95,45.69,   2.1
  0.98,45.68,   2.1
  0.99,45.67,   2.2
  1.00,45.66,   2.2
  1.01,45.65,   2.2
  1.02,45.64,   2.2
  1.03,45.63,   2.3
  1.05,45.62,   2.3
  1.08,45.61,   2.4
  1.10,45.60,   2.4
  1.11,45.59,   2.4
  1.13,45.58,   2.5
  1.15,45.57,   2.5
  1.17,45.56,   2.6
  1.18,45.55,   2.6
  1.20,45.54,   2.6
  1.22,45.53,   2.7
  1.24,45.52,   2.7
  1.26,45.51,   2.7
  1.28,45.50,   2.8
