"time (m)","v","V/min","wh"
0,42.84,0.000,0
  0.01,41.77,106.745,   0.0
  0.02,41.74,2.930,   0.0
  0.03,41.73,1.041,   0.1
  0.05,41.72,0.521,   0.1
  0.06,41.71,0.919,   0.1
  0.08,41.70,0.527,   0.1
  0.11,41.69,0.332,   0.2
  0.14,41.68,0.331,   0.3
  0.18,41.67,0.256,   0.3
  0.21,41.66,0.312,   0.4
  0.28,41.65,0.152,   0.5
  0.33,41.64,0.202,   0.6
  0.37,41.63,0.249,   0.7
  0.47,41.62,0.092,   0.9
  0.54,41.61,0.142,   1.0
  0.65,41.60,0.092,   1.2
  0.70,41.59,0.200,   1.3
  0.81,41.58,0.090,   1.5
  0.88,41.57,0.145,   1.6
  1.02,41.56,0.072,   1.8
  1.10,41.55,0.126,   2.0
  1.18,41.54,0.128,   2.1
  1.32,41.53,0.072,   2.4
  1.40,41.52,0.125,   2.5
  1.54,41.51,0.071,   2.8
  1.66,41.50,0.079,   3.0
  1.83,41.49,0.062,   3.3
  1.96,41.48,0.072,   3.5
  2.18,41.47,0.046,   3.9
  2.26,41.46,0.127,   4.0
  2.45,41.45,0.054,   4.4
  2.67,41.44,0.045,   4.8
  2.79,41.43,0.079,   5.0
  3.05,41.42,0.039,   5.4
  3.24,41.41,0.052,   5.8
  3.54,41.40,0.033,   6.3
  3.74,41.39,0.049,   6.7
  4.06,41.38,0.032,   7.2
  4.29,41.37,0.044,   7.6
  4.53,41.36,0.040,   8.1
  4.91,41.35,0.027,   8.7
  5.29,41.34,0.027,   9.4
  5.72,41.33,0.023,  10.2
  6.09,41.32,0.027,  10.8
  6.56,41.31,0.021,  11.7
  7.17,41.30,0.016,  12.7
  7.71,41.29,0.019,  13.7
  8.52,41.28,0.012,  15.1
  9.14,41.27,0.016,  16.2
 10.31,41.26,0.009,  18.3
 11.32,41.25,0.010,  20.1
 13.79,41.24,0.004,  24.4
 14.74,41.23,0.011,  26.1
 17.45,41.22,0.004,  30.8
 19.06,41.21,0.006,  33.7
 20.35,41.20,0.008,  35.9
 22.68,41.19,0.004,  40.0
 24.76,41.18,0.005,  43.7
 26.86,41.17,0.005,  47.4
 28.56,41.16,0.006,  50.3
 30.51,41.15,0.005,  53.8
 31.84,41.14,0.008,  56.1
 33.93,41.13,0.005,  59.8
 34.92,41.12,0.010,  61.5
 36.43,41.11,0.007,  64.1
 38.00,41.10,0.006,  66.9
 39.35,41.09,0.007,  69.2
 41.13,41.08,0.006,  72.3
 42.00,41.07,0.011,  73.9
 43.45,41.06,0.007,  76.4
 44.39,41.05,0.011,  78.0
 46.07,41.04,0.006,  81.0
 47.12,41.03,0.009,  82.8
 47.91,41.02,0.013,  84.2
 49.14,41.01,0.008,  86.3
 49.99,41.00,0.012,  87.8
 51.20,40.99,0.008,  89.9
 52.26,40.98,0.009,  91.7
 53.13,40.97,0.012,  93.2
 54.17,40.96,0.010,  95.0
 55.02,40.95,0.012,  96.5
 55.91,40.94,0.011,  98.1
 56.51,40.93,0.017,  99.1
 57.69,40.92,0.008, 101.2
 58.35,40.91,0.015, 102.3
 59.55,40.90,0.008, 104.4
 60.15,40.89,0.017, 105.4
 61.32,40.88,0.008, 107.4
 62.08,40.87,0.013, 108.8
 62.58,40.86,0.020, 109.6
 63.60,40.85,0.010, 111.4
 64.29,40.84,0.014, 112.6
 65.21,40.83,0.011, 114.2
