"time (m)","v","V/min","wh"
0,44.26,0.000,0
  0.01,43.32,97.137,   0.0
  0.02,43.30,1.961,   0.0
  0.03,43.27,3.083,   0.1
  0.04,43.26,1.008,   0.1
  0.05,43.25,1.002,   0.1
  0.06,43.24,1.025,   0.1
  0.07,43.22,1.975,   0.1
  0.08,43.21,1.027,   0.2
  0.09,43.20,1.026,   0.2
  0.10,43.19,1.074,   0.2
  0.11,43.18,1.041,   0.2
  0.13,43.17,0.533,   0.2
  0.14,43.16,1.027,   0.3
  0.15,43.15,1.071,   0.3
  0.16,43.14,0.927,   0.3
  0.17,43.13,0.998,   0.3
  0.19,43.12,0.521,   0.4
  0.21,43.11,0.512,   0.4
  0.23,43.10,0.500,   0.4
  0.23,43.09,1.021,   0.5
  0.24,43.08,1.070,   0.5
  0.26,43.07,0.507,   0.5
  0.28,43.06,0.511,   0.5
  0.30,43.05,0.501,   0.6
  0.31,43.04,0.991,   0.6
  0.33,43.03,0.536,   0.6
  0.35,43.02,0.479,   0.7
  0.36,43.01,0.994,   0.7
  0.39,43.00,0.350,   0.8
  0.41,42.99,0.501,   0.8
  0.42,42.98,0.967,   0.8
  0.45,42.97,0.353,   0.9
  0.47,42.96,0.508,   0.9
  0.49,42.95,0.527,   0.9
  0.50,42.94,0.934,   1.0
  0.53,42.93,0.354,   1.0
  0.55,42.92,0.467,   1.1
  0.57,42.91,0.500,   1.1
  0.58,42.90,1.025,   1.1
  0.62,42.89,0.258,   1.2
  0.63,42.88,0.923,   1.2
  0.66,42.87,0.358,   1.3
  0.68,42.86,0.542,   1.3
  0.69,42.85,0.506,   1.3
  0.72,42.84,0.341,   1.4
  0.74,42.83,0.488,   1.4
  0.76,42.82,0.502,   1.5
  0.80,42.81,0.258,   1.5
  0.82,42.80,0.532,   1.6
  0.84,42.79,0.502,   1.6
  0.87,42.78,0.347,   1.7
  0.89,42.77,0.536,   1.7
  0.93,42.76,0.253,   1.8
  0.95,42.75,0.511,   1.8
  0.98,42.74,0.334,   1.9
  1.00,42.73,0.507,   1.9
  1.04,42.72,0.247,   2.0
  1.06,42.71,0.521,   2.0
  1.09,42.70,0.341,   2.1
  1.12,42.69,0.349,   2.1
  1.14,42.68,0.518,   2.2
  1.18,42.67,0.249,   2.2
  1.19,42.66,0.524,   2.3
  1.22,42.65,0.328,   2.3
  1.26,42.64,0.253,   2.4
  1.28,42.63,0.531,   2.4
  1.32,42.62,0.258,   2.5
  1.34,42.61,0.501,   2.6
