"time (m)","v","V/min","wh"
0,43.97,0.000,0
  0.01,42.76,129.113,   0.0
  0.02,42.72,3.796,   0.0
  0.03,42.70,1.948,   0.1
  0.04,42.69,1.030,   0.1
  0.05,42.67,1.997,   0.1
  0.07,42.65,1.042,   0.1
  0.08,42.64,0.936,   0.2
  0.09,42.63,1.026,   0.2
  0.11,42.62,0.526,   0.2
  0.12,42.61,0.987,   0.2
  0.13,42.60,0.966,   0.2
  0.15,42.58,1.054,   0.3
  0.17,42.57,0.494,   0.3
  0.18,42.56,0.955,   0.3
  0.19,42.55,1.079,   0.4
  0.22,42.54,0.347,   0.4
  0.23,42.53,0.962,   0.4
  0.25,42.52,0.528,   0.5
  0.27,42.51,0.506,   0.5
  0.28,42.50,0.990,   0.5
  0.31,42.49,0.335,   0.6
  0.32,42.48,0.962,   0.6
  0.34,42.47,0.532,   0.6
  0.35,42.46,0.547,   0.7
  0.37,42.45,0.498,   0.7
  0.39,42.44,0.516,   0.7
  0.41,42.43,0.536,   0.8
  0.44,42.42,0.354,   0.8
  0.46,42.41,0.521,   0.9
  0.47,42.40,0.967,   0.9
  0.50,42.39,0.344,   0.9
  0.52,42.38,0.530,   1.0
  0.54,42.37,0.512,   1.0
  0.56,42.36,0.536,   1.0
  0.58,42.35,0.348,   1.1
  0.61,42.34,0.337,   1.1
  0.63,42.33,0.499,   1.2
  0.65,42.32,0.500,   1.2
  0.68,42.31,0.333,   1.3
  0.70,42.30,0.494,   1.3
  0.73,42.29,0.338,   1.4
  0.75,42.28,0.526,   1.4
  0.78,42.27,0.348,   1.5
  0.79,42.26,0.893,   1.5
  0.82,42.25,0.341,   1.5
  0.86,42.24,0.257,   1.6
  0.88,42.23,0.471,   1.6
  0.91,42.22,0.349,   1.7
  0.94,42.21,0.333,   1.8
  0.96,42.20,0.481,   1.8
  0.98,42.19,0.521,   1.8
  1.01,42.18,0.341,   1.9
  1.05,42.17,0.259,   2.0
  1.07,42.16,0.483,   2.0
  1.11,42.15,0.265,   2.1
  1.14,42.14,0.323,   2.1
  1.16,42.13,0.491,   2.2
  1.20,42.12,0.258,   2.2
  1.22,42.11,0.503,   2.3
  1.26,42.10,0.242,   2.3
  1.27,42.09,0.955,   2.4
  1.33,42.08,0.167,   2.5
  1.35,42.07,0.477,   2.5
  1.39,42.06,0.251,   2.6
  1.41,42.05,0.496,   2.6
  1.44,42.04,0.349,   2.7
  1.49,42.03,0.206,   2.8
  1.52,42.02,0.326,   2.8
  1.55,42.01,0.324,   2.9
  1.59,42.00,0.261,   2.9
  1.62,41.99,0.346,   3.0
  1.65,41.98,0.338,   3.0
  1.68,41.97,0.335,   3.1
  1.72,41.96,0.204,   3.2
  1.75,41.95,0.347,   3.2
  1.79,41.94,0.247,   3.3
  1.82,41.93,0.339,   3.4
  1.87,41.92,0.204,   3.5
  1.90,41.91,0.317,   3.5
  1.96,41.90,0.171,   3.6
  1.99,41.89,0.320,   3.7
  2.02,41.88,0.327,   3.7
  2.07,41.87,0.206,   3.8
  2.09,41.86,0.494,   3.9
  2.15,41.85,0.165,   4.0
  2.18,41.84,0.344,   4.0
  2.24,41.83,0.168,   4.1
  2.28,41.82,0.263,   4.2
  2.32,41.81,0.257,   4.3
  2.39,41.80,0.144,   4.4
  2.41,41.79,0.516,   4.4
  2.48,41.78,0.145,   4.6
  2.51,41.77,0.338,   4.6
  2.57,41.76,0.165,   4.7
  2.59,41.75,0.499,   4.8
  2.65,41.74,0.170,   4.9
  2.71,41.73,0.168,   5.0
  2.74,41.72,0.330,   5.0
