"time (m)","v","V/min","wh"
0,44.09,0.000,0
  0.01,42.97,115.657,   0.0
  0.02,42.94,2.987,   0.0
  0.03,42.91,2.823,   0.1
  0.04,42.89,2.076,   0.1
  0.05,42.87,1.931,   0.1
  0.06,42.86,1.001,   0.1
  0.07,42.85,1.014,   0.1
  0.08,42.84,1.021,   0.2
  0.09,42.83,1.102,   0.2
  0.10,42.82,0.930,   0.2
  0.11,42.81,0.998,   0.2
  0.12,42.80,1.103,   0.2
  0.13,42.79,0.953,   0.2
  0.14,42.78,1.021,   0.3
  0.16,42.77,0.494,   0.3
  0.18,42.76,0.507,   0.3
  0.20,42.75,0.507,   0.4
  0.21,42.74,1.014,   0.4
  0.22,42.73,1.028,   0.4
  0.24,42.72,0.547,   0.4
  0.26,42.71,0.498,   0.5
  0.28,42.70,0.516,   0.5
  0.29,42.69,0.536,   0.6
  0.31,42.68,0.536,   0.6
  0.32,42.67,1.043,   0.6
  0.34,42.66,0.521,   0.6
  0.36,42.65,0.507,   0.7
  0.38,42.64,0.507,   0.7
  0.40,42.63,0.530,   0.8
  0.43,42.62,0.350,   0.8
  0.45,42.61,0.516,   0.8
  0.47,42.60,0.527,   0.9
  0.49,42.59,0.506,   0.9
  0.52,42.58,0.348,   1.0
  0.53,42.57,1.011,   1.0
  0.56,42.56,0.338,   1.0
  0.58,42.55,0.508,   1.1
  0.60,42.54,0.502,   1.1
  0.63,42.53,0.265,   1.2
  0.65,42.52,0.507,   1.2
  0.68,42.51,0.335,   1.3
  0.69,42.50,0.965,   1.3
  0.73,42.49,0.262,   1.4
  0.75,42.48,0.517,   1.4
  0.77,42.47,0.485,   1.5
  0.80,42.46,0.324,   1.5
  0.82,42.45,0.518,   1.5
  0.85,42.44,0.341,   1.6
  0.87,42.43,0.464,   1.6
  0.90,42.42,0.336,   1.7
  0.94,42.41,0.258,   1.8
  0.95,42.40,1.007,   1.8
  0.99,42.39,0.259,   1.9
  1.01,42.38,0.500,   1.9
  1.04,42.37,0.339,   2.0
  1.06,42.36,0.493,   2.0
  1.10,42.35,0.268,   2.1
  1.12,42.34,0.508,   2.1
  1.16,42.33,0.242,   2.2
  1.19,42.32,0.336,   2.2
  1.21,42.31,0.526,   2.3
  1.25,42.30,0.257,   2.3
  1.27,42.29,0.489,   2.4
  1.30,42.28,0.265,   2.4
  1.33,42.27,0.350,   2.5
  1.36,42.26,0.345,   2.5
  1.40,42.25,0.247,   2.6
  1.44,42.24,0.250,   2.7
  1.46,42.23,0.514,   2.7
  1.50,42.22,0.247,   2.8
  1.53,42.21,0.357,   2.9
  1.56,42.20,0.342,   2.9
  1.61,42.19,0.211,   3.0
  1.64,42.18,0.336,   3.1
  1.68,42.17,0.247,   3.1
  1.70,42.16,0.530,   3.2
  1.74,42.15,0.208,   3.3
  1.78,42.14,0.251,   3.3
  1.81,42.13,0.334,   3.4
  1.87,42.12,0.178,   3.5
  1.89,42.11,0.529,   3.5
  1.94,42.10,0.209,   3.6
  1.98,42.09,0.247,   3.7
  2.01,42.08,0.262,   3.8
  2.05,42.07,0.252,   3.8
  2.10,42.06,0.200,   3.9
  2.12,42.05,0.496,   4.0
  2.17,42.04,0.201,   4.0
  2.21,42.03,0.255,   4.1
  2.24,42.02,0.338,   4.2
  2.31,42.01,0.146,   4.3
  2.33,42.00,0.481,   4.3
  2.41,41.99,0.129,   4.5
  2.45,41.98,0.263,   4.5
  2.46,41.97,1.008,   4.6
  2.52,41.96,0.153,   4.7
  2.59,41.95,0.148,   4.8
  2.64,41.94,0.204,   4.9
  2.67,41.93,0.335,   4.9
  2.73,41.92,0.166,   5.1
  2.75,41.91,0.507,   5.1
  2.84,41.90,0.112,   5.3
  2.88,41.89,0.251,   5.3
  2.92,41.88,0.250,   5.4
  2.98,41.87,0.165,   5.5
  3.03,41.86,0.203,   5.6
  3.07,41.85,0.242,   5.7
  3.14,41.84,0.145,   5.8
  3.20,41.83,0.160,   5.9
  3.25,41.82,0.210,   6.0
  3.34,41.81,0.112,   6.2
  3.36,41.80,0.521,   6.2
  3.44,41.79,0.123,   6.3
  3.49,41.78,0.205,   6.4
  3.57,41.77,0.121,   6.6
  3.66,41.76,0.112,   6.7
  3.68,41.75,0.523,   6.8
  3.78,41.74,0.102,   7.0
  3.86,41.73,0.126,   7.1
  3.92,41.72,0.146,   7.2
  4.00,41.71,0.124,   7.4
  4.04,41.70,0.255,   7.4
  4.15,41.69,0.099,   7.6
  4.22,41.68,0.127,   7.8
  4.32,41.67,0.102,   7.9
  4.40,41.66,0.123,   8.1
  4.50,41.65,0.098,   8.3
  4.58,41.64,0.141,   8.4
  4.64,41.63,0.167,   8.5
  4.78,41.62,0.070,   8.7
  4.83,41.61,0.204,   8.8
  4.93,41.60,0.101,   9.0
  5.02,41.59,0.103,   9.2
  5.17,41.58,0.068,   9.5
  5.24,41.57,0.143,   9.6
  5.39,41.56,0.068,   9.8
  5.46,41.55,0.129,  10.0
  5.54,41.54,0.128,  10.1
  5.69,41.53,0.067,  10.4
  5.77,41.52,0.127,  10.5
  5.98,41.51,0.048,  10.9
  6.06,41.50,0.116,  11.0
  6.21,41.49,0.067,  11.3
  6.38,41.48,0.060,  11.6
  6.52,41.47,0.068,  11.9
  6.64,41.46,0.084,  12.1
  6.78,41.45,0.071,  12.3
  6.94,41.44,0.063,  12.6
  7.13,41.43,0.054,  12.9
  7.27,41.42,0.068,  13.2
  7.48,41.41,0.048,  13.6
  7.72,41.40,0.041,  14.0
  7.87,41.39,0.066,  14.3
  8.17,41.38,0.034,  14.8
  8.40,41.37,0.044,  15.2
  8.54,41.36,0.068,  15.5
  8.87,41.35,0.031,  16.0
  9.11,41.34,0.041,  16.5
  9.48,41.33,0.027,  17.1
  9.73,41.32,0.040,  17.6
 10.09,41.31,0.028,  18.2
 10.35,41.30,0.038,  18.6
 10.56,41.29,0.049,  19.0
 11.14,41.28,0.017,  20.0
 11.51,41.27,0.027,  20.7
 12.04,41.26,0.019,  21.6
 12.66,41.25,0.016,  22.7
 13.16,41.24,0.020,  23.6
 13.85,41.23,0.015,  24.8
 14.91,41.22,0.009,  26.7
 15.28,41.21,0.027,  27.3
 16.08,41.20,0.013,  28.7
 17.45,41.19,0.007,  31.1
 18.37,41.18,0.011,  32.7
 19.46,41.17,0.009,  34.7
 20.77,41.16,0.008,  37.0
 22.92,41.15,0.005,  40.7
 23.96,41.14,0.010,  42.6
 26.31,41.13,0.004,  46.7
 27.62,41.12,0.008,  49.0
 28.79,41.11,0.009,  51.0
 30.58,41.10,0.006,  54.1
 32.13,41.09,0.006,  56.9
 34.15,41.08,0.005,  60.4
 35.44,41.07,0.008,  62.6
 37.28,41.06,0.005,  65.8
 38.72,41.05,0.007,  68.4
 40.80,41.04,0.005,  72.0
 41.96,41.03,0.009,  74.0
 43.17,41.02,0.008,  76.1
 44.96,41.01,0.006,  79.2
 46.00,41.00,0.010,  81.0
 47.68,40.99,0.006,  84.0
 48.76,40.98,0.009,  85.8
 50.12,40.97,0.007,  88.2
 51.22,40.96,0.009,  90.1
 52.82,40.95,0.006,  92.9
 53.55,40.94,0.014,  94.2
 54.74,40.93,0.008,  96.2
 56.31,40.92,0.006,  98.9
 57.15,40.91,0.012, 100.4
 58.24,40.90,0.009, 102.3
 59.34,40.89,0.009, 104.2
 60.90,40.88,0.006, 106.9
 61.63,40.87,0.014, 108.1
 62.50,40.86,0.011, 109.7
 63.83,40.85,0.008, 111.9
 64.58,40.84,0.013, 113.2
 65.51,40.83,0.011, 114.9
 66.54,40.82,0.010, 116.6
 67.61,40.81,0.009, 118.5
 68.34,40.80,0.014, 119.7
 69.49,40.79,0.009, 121.7
 70.22,40.78,0.014, 123.0
 70.69,40.77,0.021, 123.8
 72.12,40.76,0.007, 126.2
 72.56,40.75,0.022, 127.0
 73.70,40.74,0.009, 128.9
 74.39,40.73,0.015, 130.1
 75.13,40.72,0.014, 131.4
 75.68,40.71,0.018, 132.3
 76.82,40.70,0.009, 134.3
 77.20,40.69,0.027, 134.9
 77.81,40.68,0.016, 136.0
 78.51,40.67,0.014, 137.2
 79.21,40.66,0.014, 138.4
 79.89,40.65,0.015, 139.6
 80.66,40.64,0.013, 140.9
 81.33,40.63,0.015, 142.0
 81.84,40.62,0.020, 142.9
 82.34,40.61,0.020, 143.7
 82.98,40.60,0.016, 144.8
 83.37,40.59,0.025, 145.5
 84.24,40.58,0.012, 147.0
 84.51,40.57,0.037, 147.4
 85.16,40.56,0.016, 148.5
 85.86,40.55,0.014, 149.7
 86.54,40.54,0.015, 150.9
 86.90,40.53,0.028, 151.5
 87.52,40.52,0.016, 152.6
 88.18,40.51,0.015, 153.7
 88.51,40.50,0.031, 154.2
 89.29,40.49,0.013, 155.6
 89.60,40.48,0.033, 156.1
 90.25,40.47,0.015, 157.2
 90.67,40.46,0.024, 157.9
 91.24,40.45,0.017, 158.9
 91.76,40.44,0.019, 159.8
 92.05,40.43,0.034, 160.2
 92.71,40.42,0.015, 161.4
 93.08,40.41,0.027, 162.0
 93.70,40.40,0.016, 163.0
 94.20,40.39,0.020, 163.9
 94.77,40.38,0.018, 164.8
 95.10,40.37,0.030, 165.4
 95.62,40.36,0.019, 166.3
 95.99,40.35,0.027, 166.9
 96.26,40.34,0.037, 167.4
 96.90,40.33,0.016, 168.4
 97.23,40.32,0.030, 169.0
 97.76,40.31,0.019, 169.9
 98.07,40.30,0.033, 170.4
 98.60,40.29,0.019, 171.3
 98.95,40.28,0.028, 171.9
 99.44,40.27,0.021, 172.7
 99.89,40.26,0.022, 173.5
100.19,40.25,0.033, 174.0
100.64,40.24,0.022, 174.7
101.15,40.23,0.020, 175.6
101.50,40.22,0.028, 176.2
101.93,40.21,0.024, 176.9
102.38,40.20,0.022, 177.6
102.61,40.19,0.044, 178.0
102.98,40.18,0.027, 178.6
103.47,40.17,0.021, 179.4
103.82,40.16,0.029, 180.0
104.23,40.15,0.024, 180.7
104.47,40.14,0.041, 181.1
104.93,40.13,0.022, 181.9
105.23,40.12,0.033, 182.4
105.68,40.11,0.022, 183.1
106.01,40.10,0.030, 183.7
106.28,40.09,0.037, 184.1
106.74,40.08,0.022, 184.9
107.11,40.07,0.027, 185.5
107.55,40.06,0.023, 186.2
107.78,40.05,0.044, 186.6
108.35,40.04,0.018, 187.6
108.62,40.03,0.036, 188.0
109.03,40.02,0.025, 188.7
109.30,40.01,0.036, 189.2
109.65,40.00,0.029, 189.7
109.91,39.99,0.038, 190.2
110.29,39.98,0.026, 190.8
110.67,39.97,0.027, 191.4
111.00,39.96,0.030, 192.0
111.42,39.95,0.024, 192.7
111.66,39.94,0.043, 193.0
112.17,39.93,0.019, 193.9
112.37,39.92,0.051, 194.2
112.61,39.91,0.042, 194.6
113.09,39.90,0.021, 195.4
113.42,39.89,0.030, 195.9
113.72,39.88,0.032, 196.5
114.01,39.87,0.035, 196.9
114.53,39.86,0.019, 197.8
114.71,39.85,0.057, 198.1
114.84,39.84,0.074, 198.3
115.38,39.83,0.019, 199.2
115.63,39.82,0.040, 199.6
116.05,39.81,0.024, 200.3
116.25,39.80,0.050, 200.6
116.59,39.79,0.030, 201.2
116.90,39.78,0.032, 201.7
117.29,39.77,0.025, 202.3
117.54,39.76,0.041, 202.7
117.87,39.75,0.030, 203.3
118.22,39.74,0.029, 203.8
118.43,39.73,0.046, 204.2
118.84,39.72,0.025, 204.8
119.05,39.71,0.046, 205.2
119.48,39.70,0.024, 205.9
119.70,39.69,0.044, 206.2
120.08,39.68,0.027, 206.9
120.27,39.67,0.051, 207.2
120.59,39.66,0.032, 207.7
120.84,39.65,0.039, 208.1
121.05,39.64,0.049, 208.4
121.47,39.63,0.024, 209.1
121.71,39.62,0.042, 209.5
122.04,39.61,0.030, 210.0
122.31,39.60,0.036, 210.5
122.65,39.59,0.030, 211.0
122.85,39.58,0.051, 211.4
123.11,39.57,0.038, 211.8
123.48,39.56,0.027, 212.4
123.71,39.55,0.045, 212.8
123.99,39.54,0.035, 213.2
124.26,39.53,0.036, 213.7
124.56,39.52,0.033, 214.1
124.71,39.51,0.067, 214.4
125.16,39.50,0.022, 215.1
125.30,39.49,0.073, 215.3
125.56,39.48,0.038, 215.8
125.79,39.47,0.045, 216.1
126.00,39.46,0.047, 216.5
126.41,39.45,0.025, 217.1
126.62,39.44,0.047, 217.5
126.95,39.43,0.030, 218.0
127.15,39.42,0.051, 218.3
127.31,39.41,0.064, 218.6
127.60,39.40,0.034, 219.0
127.86,39.39,0.039, 219.4
128.15,39.38,0.035, 219.9
128.36,39.37,0.046, 220.3
128.59,39.36,0.044, 220.6
128.81,39.35,0.046, 221.0
129.09,39.34,0.036, 221.4
129.36,39.33,0.036, 221.9
129.50,39.32,0.073, 222.1
129.78,39.31,0.035, 222.5
129.98,39.30,0.050, 222.9
130.22,39.29,0.042, 223.2
130.47,39.28,0.039, 223.6
130.74,39.27,0.038, 224.1
130.92,39.26,0.056, 224.3
131.15,39.25,0.043, 224.7
