"time (m)","v","V/min","wh"
0,44.44,0.000,0
  0.01,43.12,133.133,   0.0
  0.02,43.11,1.127,   0.0
  0.03,43.08,3.025,   0.1
  0.04,43.07,0.987,   0.1
  0.05,43.05,2.206,   0.1
  0.06,43.04,1.041,   0.1
  0.08,43.02,1.072,   0.1
  0.10,43.01,0.503,   0.2
  0.11,43.00,0.992,   0.2
  0.12,42.99,1.023,   0.2
  0.13,42.98,1.021,   0.2
  0.14,42.97,0.828,   0.3
  0.16,42.96,0.526,   0.3
  0.17,42.95,1.105,   0.3
  0.18,42.94,0.997,   0.3
  0.20,42.93,0.515,   0.4
  0.22,42.92,0.508,   0.4
  0.22,42.91,1.013,   0.4
  0.24,42.90,0.506,   0.5
  0.26,42.89,0.532,   0.5
  0.27,42.88,1.017,   0.5
  0.30,42.87,0.344,   0.6
  0.31,42.86,1.000,   0.6
  0.33,42.85,0.535,   0.6
  0.35,42.84,0.494,   0.7
  0.37,42.83,0.540,   0.7
  0.39,42.82,0.532,   0.7
  0.41,42.81,0.542,   0.8
  0.43,42.80,0.515,   0.8
  0.45,42.79,0.507,   0.9
  0.48,42.78,0.341,   0.9
  0.50,42.77,0.504,   0.9
  0.52,42.76,0.510,   1.0
  0.53,42.75,0.521,   1.0
  0.54,42.74,0.937,   1.0
  0.57,42.73,0.335,   1.1
  0.59,42.72,0.507,   1.1
  0.62,42.71,0.484,   1.2
  0.65,42.70,0.332,   1.2
  0.67,42.69,0.348,   1.3
  0.69,42.68,0.491,   1.3
  0.71,42.67,0.524,   1.4
  0.74,42.66,0.361,   1.4
  0.76,42.65,0.502,   1.4
  0.79,42.64,0.338,   1.5
  0.81,42.63,0.488,   1.5
  0.84,42.62,0.355,   1.6
  0.86,42.61,0.497,   1.6
  0.90,42.60,0.253,   1.7
  0.93,42.59,0.326,   1.8
  0.95,42.58,0.515,   1.8
  0.97,42.57,0.515,   1.8
  0.99,42.56,0.499,   1.9
  1.04,42.55,0.195,   2.0
  1.06,42.54,0.507,   2.0
  1.08,42.53,0.465,   2.0
  1.12,42.52,0.262,   2.1
  1.15,42.51,0.344,   2.2
  1.17,42.50,0.531,   2.2
  1.21,42.49,0.264,   2.3
  1.23,42.48,0.341,   2.3
  1.26,42.47,0.482,   2.4
  1.28,42.46,0.336,   2.4
  1.31,42.45,0.336,   2.5
  1.36,42.44,0.208,   2.6
  1.38,42.43,0.515,   2.6
  1.41,42.42,0.346,   2.7
  1.45,42.41,0.253,   2.7
  1.46,42.40,1.107,   2.8
  1.51,42.39,0.206,   2.8
  1.54,42.38,0.342,   2.9
  1.59,42.37,0.206,   3.0
  1.62,42.36,0.339,   3.0
  1.63,42.35,0.532,   3.1
  1.67,42.34,0.252,   3.2
  1.73,42.33,0.195,   3.2
  1.75,42.32,0.502,   3.3
  1.78,42.31,0.324,   3.3
  1.83,42.30,0.174,   3.4
  1.85,42.29,0.483,   3.5
  1.89,42.28,0.259,   3.6
  1.94,42.27,0.210,   3.6
  1.98,42.26,0.260,   3.7
  2.00,42.25,0.536,   3.8
