"time (m)","v","V/min","wh"
0,43.98,0.000,0
  0.01,35.28,882.026,   0.0
  0.02,35.30,-2.273,   0.0
  0.03,35.32,-1.975,   0.0
  0.04,35.33,-0.987,   0.1
  0.05,35.34,-0.937,   0.1
  0.06,35.35,-1.042,   0.1
  0.07,35.36,-0.893,   0.1
  0.10,35.37,-0.341,   0.1
  0.12,35.38,-0.500,   0.2
  0.13,35.39,-1.013,   0.2
  0.14,35.40,-0.936,   0.2
  0.18,35.41,-0.246,   0.2
  0.20,35.42,-0.524,   0.3
  0.22,35.43,-0.536,   0.3
  0.25,35.44,-0.347,   0.3
  0.27,35.45,-0.510,   0.3
  0.30,35.46,-0.335,   0.4
  0.32,35.47,-0.359,   0.4
  0.36,35.48,-0.254,   0.5
  0.38,35.49,-0.503,   0.5
  0.40,35.50,-0.479,   0.5
  0.45,35.51,-0.206,   0.6
  0.47,35.52,-0.497,   0.6
  0.53,35.53,-0.175,   0.7
  0.57,35.54,-0.257,   0.7
  0.62,35.55,-0.203,   0.8
  0.64,35.56,-0.527,   0.8
  0.71,35.57,-0.142,   0.9
  0.74,35.58,-0.328,   1.0
  0.79,35.59,-0.209,   1.0
  0.85,35.60,-0.163,   1.1
  0.91,35.61,-0.165,   1.2
  0.97,35.62,-0.169,   1.3
  1.02,35.63,-0.201,   1.3
  1.10,35.64,-0.115,   1.4
  1.15,35.65,-0.240,   1.5
  1.21,35.66,-0.169,   1.6
  1.27,35.67,-0.151,   1.7
  1.34,35.68,-0.144,   1.8
  1.45,35.69,-0.094,   1.9
  1.54,35.70,-0.110,   2.0
  1.62,35.71,-0.116,   2.1
  1.72,35.72,-0.110,   2.2
  1.83,35.73,-0.091,   2.4
  1.92,35.74,-0.102,   2.5
  2.09,35.75,-0.061,   2.7
  2.18,35.76,-0.114,   2.9
  2.29,35.77,-0.084,   3.0
  2.41,35.78,-0.085,   3.2
  2.52,35.79,-0.091,   3.3
  2.73,35.80,-0.048,   3.6
  2.85,35.81,-0.084,   3.7
  3.03,35.82,-0.054,   4.0
  3.10,35.83,-0.147,   4.1
  3.30,35.84,-0.051,   4.3
  3.46,35.85,-0.061,   4.6
  3.62,35.86,-0.064,   4.8
  3.83,35.87,-0.046,   5.1
  3.95,35.88,-0.085,   5.2
  4.20,35.89,-0.039,   5.6
  4.31,35.90,-0.093,   5.7
  4.58,35.91,-0.037,   6.1
  4.77,35.92,-0.055,   6.3
  4.96,35.93,-0.052,   6.6
  5.21,35.94,-0.040,   6.9
  5.36,35.95,-0.065,   7.1
  5.60,35.96,-0.043,   7.4
  5.78,35.97,-0.053,   7.7
  6.05,35.98,-0.038,   8.0
  6.18,35.99,-0.074,   8.2
  6.42,36.00,-0.042,   8.5
  6.54,36.01,-0.086,   8.7
  6.68,36.02,-0.069,   8.9
  6.94,36.03,-0.038,   9.2
  7.16,36.04,-0.047,   9.5
  7.33,36.05,-0.059,   9.7
  7.47,36.06,-0.068,   9.9
  7.58,36.07,-0.093,  10.1
  7.77,36.08,-0.054,  10.3
