"time (m)","v","V/min","wh"
0,45.95,0.000,0
  0.01,45.19,77.970,   0.0
  0.02,45.12,7.187,   0.0
  0.03,45.11,1.075,   0.1
  0.04,45.08,2.958,   0.1
  0.06,45.06,1.014,   0.1
  0.07,45.05,1.017,   0.1
  0.08,45.04,1.069,   0.2
  0.09,45.03,0.987,   0.2
  0.10,45.02,0.937,   0.2
  0.11,45.01,1.104,   0.2
  0.12,45.00,0.937,   0.2
  0.13,44.99,0.921,   0.3
  0.15,44.98,0.501,   0.3
  0.17,44.96,1.037,   0.4
  0.18,44.95,0.957,   0.4
  0.20,44.94,0.525,   0.4
  0.22,44.93,0.541,   0.5
  0.24,44.92,0.515,   0.5
  0.25,44.91,0.993,   0.5
  0.26,44.90,0.542,   0.6
  0.29,44.89,0.478,   0.6
  0.30,44.88,0.534,   0.6
  0.31,44.87,1.000,   0.7
  0.33,44.86,0.521,   0.7
  0.35,44.85,0.513,   0.7
  0.37,44.84,0.503,   0.8
  0.39,44.83,0.534,   0.8
  0.41,44.82,0.507,   0.9
  0.43,44.81,0.503,   0.9
  0.46,44.80,0.349,   1.0
  0.48,44.79,0.537,   1.0
  0.50,44.78,0.501,   1.0
  0.52,44.77,0.499,   1.1
  0.54,44.76,0.504,   1.1
  0.57,44.75,0.350,   1.2
  0.59,44.74,0.490,   1.2
  0.60,44.73,0.938,   1.2
  0.63,44.72,0.350,   1.3
  0.65,44.71,0.530,   1.3
  0.68,44.70,0.335,   1.4
  0.69,44.69,0.507,   1.4
  0.70,44.68,1.015,   1.5
  0.73,44.67,0.347,   1.5
  0.75,44.66,0.500,   1.6
  0.78,44.65,0.347,   1.6
  0.81,44.64,0.352,   1.7
  0.84,44.63,0.338,   1.7
  0.87,44.62,0.334,   1.8
  0.89,44.61,0.536,   1.8
  0.92,44.60,0.354,   1.9
  0.95,44.59,0.323,   2.0
  0.96,44.58,1.042,   2.0
  0.99,44.57,0.350,   2.0
  1.01,44.56,0.502,   2.1
  1.05,44.55,0.249,   2.2
  1.07,44.54,0.483,   2.2
  1.09,44.53,0.523,   2.3
  1.13,44.52,0.206,   2.4
  1.15,44.51,0.510,   2.4
  1.18,44.50,0.338,   2.5
  1.20,44.49,0.502,   2.5
  1.23,44.48,0.359,   2.6
  1.25,44.47,0.511,   2.6
  1.29,44.46,0.252,   2.7
  1.31,44.45,0.503,   2.7
  1.33,44.44,0.532,   2.8
  1.37,44.43,0.247,   2.8
  1.39,44.42,0.515,   2.9
  1.42,44.41,0.341,   2.9
  1.45,44.40,0.336,   3.0
  1.50,44.39,0.206,   3.1
  1.51,44.38,1.086,   3.1
  1.56,44.37,0.202,   3.2
  1.59,44.36,0.329,   3.3
  1.61,44.35,0.494,   3.3
  1.64,44.34,0.341,   3.4
  1.68,44.33,0.253,   3.5
  1.70,44.32,0.361,   3.5
  1.74,44.31,0.261,   3.6
  1.76,44.30,0.533,   3.6
  1.78,44.29,0.479,   3.7
  1.83,44.28,0.206,   3.8
  1.84,44.27,1.043,   3.8
  1.89,44.26,0.208,   3.9
  1.94,44.25,0.204,   4.0
  1.96,44.24,0.515,   4.0
  2.00,44.23,0.206,   4.1
  2.02,44.22,0.489,   4.2
  2.07,44.21,0.202,   4.3
  2.10,44.20,0.373,   4.3
  2.13,44.19,0.338,   4.4
  2.17,44.18,0.254,   4.5
  2.21,44.17,0.258,   4.5
  2.25,44.16,0.257,   4.6
  2.28,44.15,0.329,   4.7
  2.31,44.14,0.336,   4.7
  2.36,44.13,0.210,   4.8
  2.39,44.12,0.253,   4.9
  2.43,44.11,0.327,   5.0
  2.47,44.10,0.252,   5.1
  2.51,44.09,0.211,   5.2
  2.55,44.08,0.251,   5.2
  2.59,44.07,0.248,   5.3
  2.62,44.06,0.335,   5.4
  2.68,44.05,0.172,   5.5
  2.71,44.04,0.347,   5.5
  2.75,44.03,0.253,   5.6
  2.79,44.02,0.257,   5.7
  2.83,44.01,0.247,   5.8
  2.86,44.00,0.341,   5.8
  2.91,43.99,0.195,   5.9
  2.96,43.98,0.203,   6.0
  2.99,43.97,0.332,   6.1
  3.05,43.96,0.164,   6.2
  3.08,43.95,0.339,   6.3
  3.15,43.94,0.148,   6.4
  3.17,43.93,0.349,   6.5
  3.20,43.92,0.345,   6.5
  3.25,43.91,0.198,   6.6
  3.28,43.90,0.327,   6.7
  3.34,43.89,0.167,   6.8
  3.37,43.88,0.333,   6.9
  3.43,43.87,0.168,   7.0
  3.48,43.86,0.198,   7.1
  3.51,43.85,0.335,   7.2
  3.57,43.84,0.166,   7.3
  3.61,43.83,0.328,   7.3
  3.68,43.82,0.128,   7.5
  3.71,43.81,0.336,   7.6
  3.76,43.80,0.199,   7.7
  3.81,43.79,0.202,   7.7
  3.86,43.78,0.210,   7.8
  3.89,43.77,0.337,   7.9
  3.97,43.76,0.130,   8.1
  4.03,43.75,0.169,   8.2
  4.05,43.74,0.361,   8.2
  4.09,43.73,0.252,   8.3
  4.14,43.72,0.202,   8.4
  4.23,43.71,0.115,   8.6
  4.28,43.70,0.211,   8.7
  4.34,43.69,0.166,   8.8
  4.35,43.68,1.043,   8.8
  4.42,43.67,0.146,   8.9
  4.47,43.66,0.174,   9.1
