"time (m)","v","V/min","wh"
0,46.33,0.000,0
  0.01,45.54,81.168,   0.0
  0.02,45.52,2.055,   0.0
  0.03,45.50,2.144,   0.1
  0.04,45.48,1.873,   0.1
  0.05,45.46,2.048,   0.1
  0.07,45.45,0.549,   0.1
  0.08,45.44,1.011,   0.2
  0.09,45.43,1.058,   0.2
  0.11,45.42,0.547,   0.2
  0.12,45.41,0.951,   0.2
  0.12,45.40,1.085,   0.3
  0.13,45.39,1.042,   0.3
  0.15,45.38,0.500,   0.3
  0.16,45.37,1.013,   0.4
  0.18,45.36,0.506,   0.4
  0.19,45.35,1.021,   0.4
  0.21,45.34,0.501,   0.5
  0.23,45.33,0.530,   0.5
  0.26,45.32,0.336,   0.6
  0.28,45.31,0.521,   0.6
  0.29,45.30,1.043,   0.6
  0.33,45.29,0.268,   0.7
  0.34,45.28,0.893,   0.7
  0.36,45.27,0.511,   0.8
  0.38,45.26,0.531,   0.8
  0.42,45.25,0.257,   0.9
  0.44,45.24,0.507,   0.9
  0.46,45.23,0.512,   1.0
  0.48,45.22,0.507,   1.0
  0.49,45.21,1.021,   1.0
  0.52,45.20,0.264,   1.1
  0.55,45.19,0.324,   1.2
  0.59,45.18,0.324,   1.2
  0.59,45.17,1.095,   1.3
  0.64,45.16,0.201,   1.4
  0.65,45.15,0.937,   1.4
  0.69,45.14,0.255,   1.5
  0.71,45.13,0.528,   1.5
  0.76,45.12,0.202,   1.6
  0.78,45.11,0.474,   1.7
  0.80,45.10,0.514,   1.7
  0.84,45.09,0.265,   1.8
  0.86,45.08,0.476,   1.8
  0.90,45.07,0.258,   1.9
  0.91,45.06,1.000,   1.9
  0.96,45.05,0.197,   2.0
  0.98,45.04,0.503,   2.1
  1.01,45.03,0.349,   2.1
  1.04,45.02,0.336,   2.2
  1.08,45.01,0.243,   2.3
  1.11,45.00,0.347,   2.3
  1.14,44.99,0.343,   2.4
  1.19,44.98,0.201,   2.5
  1.21,44.97,0.518,   2.6
  1.26,44.96,0.202,   2.7
  1.30,44.95,0.246,   2.7
  1.33,44.94,0.343,   2.8
  1.37,44.93,0.257,   2.9
  1.38,44.92,0.940,   2.9
  1.43,44.91,0.203,   3.0
  1.46,44.90,0.329,   3.1
  1.51,44.89,0.197,   3.2
  1.55,44.88,0.245,   3.3
  1.58,44.87,0.317,   3.3
  1.61,44.86,0.330,   3.4
  1.67,44.85,0.167,   3.5
  1.70,44.84,0.346,   3.6
  1.74,44.83,0.249,   3.7
  1.80,44.82,0.169,   3.8
  1.82,44.81,0.527,   3.8
  1.86,44.80,0.258,   3.9
  1.91,44.79,0.203,   4.0
  1.93,44.78,0.347,   4.1
  1.97,44.77,0.259,   4.1
  2.03,44.76,0.171,   4.3
  2.06,44.75,0.328,   4.3
  2.11,44.74,0.200,   4.4
  2.15,44.73,0.248,   4.5
  2.18,44.72,0.324,   4.6
  2.24,44.71,0.173,   4.7
  2.29,44.70,0.209,   4.8
  2.33,44.69,0.246,   4.9
  2.38,44.68,0.204,   5.0
  2.42,44.67,0.253,   5.1
  2.48,44.66,0.167,   5.2
  2.52,44.65,0.255,   5.3
  2.58,44.64,0.170,   5.4
  2.61,44.63,0.259,   5.5
  2.68,44.62,0.144,   5.6
  2.71,44.61,0.349,   5.7
  2.75,44.60,0.258,   5.8
  2.81,44.59,0.171,   5.9
  2.83,44.58,0.531,   5.9
  2.90,44.57,0.140,   6.1
  2.94,44.56,0.242,   6.1
  3.00,44.55,0.170,   6.3
  3.05,44.54,0.203,   6.4
  3.10,44.53,0.199,   6.5
  3.16,44.52,0.167,   6.6
  3.19,44.51,0.325,   6.7
  3.28,44.50,0.116,   6.8
  3.32,44.49,0.254,   6.9
  3.39,44.48,0.130,   7.1
  3.43,44.47,0.251,   7.2
  3.49,44.46,0.173,   7.3
  3.53,44.45,0.246,   7.4
  3.57,44.44,0.246,   7.4
  3.66,44.43,0.113,   7.6
  3.69,44.42,0.335,   7.7
  3.77,44.41,0.126,   7.8
  3.81,44.40,0.253,   7.9
  3.90,44.39,0.112,   8.1
  3.95,44.38,0.206,   8.2
  4.00,44.37,0.204,   8.3
  4.08,44.36,0.116,   8.5
  4.10,44.35,0.476,   8.5
  4.18,44.34,0.127,   8.7
  4.25,44.33,0.143,   8.8
  4.33,44.32,0.127,   9.0
  4.37,44.31,0.259,   9.1
  4.46,44.30,0.113,   9.2
  4.51,44.29,0.207,   9.3
  4.59,44.28,0.124,   9.5
  4.65,44.27,0.146,   9.6
  4.69,44.26,0.268,   9.7
  4.78,44.25,0.111,   9.9
  4.82,44.24,0.253,  10.0
  4.91,44.23,0.112,  10.2
  4.95,44.22,0.251,  10.2
  5.04,44.21,0.116,  10.4
  5.10,44.20,0.166,  10.5
  5.16,44.19,0.166,  10.7
  5.25,44.18,0.112,  10.8
  5.30,44.17,0.202,  10.9
  5.38,44.16,0.113,  11.1
  5.43,44.15,0.205,  11.2
  5.54,44.14,0.095,  11.4
  5.57,44.13,0.316,  11.5
  5.69,44.12,0.085,  11.7
  5.75,44.11,0.175,  11.8
  5.82,44.10,0.127,  12.0
  5.89,44.09,0.147,  12.1
  5.96,44.08,0.143,  12.3
  6.07,44.07,0.093,  12.5
  6.12,44.06,0.204,  12.6
  6.22,44.05,0.100,  12.8
  6.25,44.04,0.335,  12.9
  6.36,44.03,0.092,  13.1
  6.43,44.02,0.145,  13.2
  6.49,44.01,0.145,  13.4
  6.56,44.00,0.165,  13.5
  6.63,43.99,0.125,  13.6
  6.74,43.98,0.091,  13.9
  6.80,43.97,0.167,  14.0
  6.90,43.96,0.103,  14.2
  6.95,43.95,0.200,  14.3
  7.09,43.94,0.073,  14.5
  7.14,43.93,0.206,  14.6
  7.22,43.92,0.128,  14.8
  7.32,43.91,0.093,  15.0
  7.36,43.90,0.253,  15.1
  7.46,43.89,0.103,  15.3
  7.53,43.88,0.144,  15.4
  7.66,43.87,0.078,  15.7
  7.70,43.86,0.266,  15.8
  7.78,43.85,0.115,  15.9
  7.93,43.84,0.069,  16.2
  7.97,43.83,0.263,  16.3
  8.12,43.82,0.067,  16.6
  8.17,43.81,0.176,  16.7
  8.31,43.80,0.073,  17.0
  8.35,43.79,0.253,  17.1
  8.48,43.78,0.078,  17.3
  8.60,43.77,0.084,  17.5
  8.65,43.76,0.173,  17.7
  8.77,43.75,0.085,  17.9
  8.86,43.74,0.114,  18.1
  8.94,43.73,0.126,  18.2
  9.05,43.72,0.092,  18.4
  9.16,43.71,0.092,  18.7
  9.22,43.70,0.150,  18.8
  9.37,43.69,0.068,  19.1
  9.48,43.68,0.093,  19.3
  9.56,43.67,0.126,  19.4
  9.70,43.66,0.072,  19.7
  9.78,43.65,0.126,  19.9
  9.88,43.64,0.092,  20.1
  9.99,43.63,0.091,  20.3
 10.11,43.62,0.083,  20.5
 10.16,43.61,0.204,  20.6
 10.37,43.60,0.049,  21.0
 10.39,43.59,0.515,  21.1
 10.54,43.58,0.064,  21.4
 10.66,43.57,0.084,  21.6
 10.77,43.56,0.094,  21.8
 10.93,43.55,0.063,  22.1
 10.98,43.54,0.195,  22.2
 11.14,43.53,0.061,  22.6
 11.23,43.52,0.116,  22.7
 11.43,43.51,0.049,  23.1
 11.49,43.50,0.171,  23.2
 11.59,43.49,0.100,  23.4
 11.72,43.48,0.076,  23.7
 11.80,43.47,0.127,  23.9
 11.96,43.46,0.063,  24.2
 12.07,43.45,0.090,  24.4
 12.21,43.44,0.074,  24.7
 12.30,43.43,0.114,  24.8
 12.46,43.42,0.064,  25.1
 12.56,43.41,0.093,  25.3
 12.68,43.40,0.084,  25.6
 12.84,43.39,0.064,  25.9
 12.98,43.38,0.069,  26.2
 13.13,43.37,0.067,  26.4
 13.25,43.36,0.086,  26.7
 13.39,43.35,0.073,  26.9
 13.53,43.34,0.068,  27.2
 13.60,43.33,0.144,  27.4
 13.79,43.32,0.055,  27.7
 13.89,43.31,0.093,  27.9
 14.10,43.30,0.049,  28.3
 14.20,43.29,0.096,  28.5
 14.42,43.28,0.046,  29.0
 14.49,43.27,0.146,  29.1
 14.69,43.26,0.049,  29.5
 14.76,43.25,0.145,  29.6
 14.91,43.24,0.068,  29.9
 15.07,43.23,0.061,  30.2
 15.17,43.22,0.103,  30.4
 15.35,43.21,0.057,  30.7
 15.49,43.20,0.068,  31.0
 15.72,43.19,0.044,  31.5
 15.88,43.18,0.063,  31.8
 16.02,43.17,0.069,  32.0
 16.23,43.16,0.048,  32.4
 16.28,43.15,0.211,  32.5
 16.56,43.14,0.035,  33.1
 16.67,43.13,0.094,  33.3
 16.83,43.12,0.060,  33.6
 17.03,43.11,0.052,  34.0
 17.27,43.10,0.042,  34.4
 17.35,43.09,0.125,  34.6
 17.52,43.08,0.057,  34.9
 17.72,43.07,0.051,  35.3
 17.86,43.06,0.072,  35.6
 18.10,43.05,0.041,  36.0
 18.21,43.04,0.093,  36.3
 18.47,43.03,0.038,  36.8
 18.53,43.02,0.173,  36.9
 18.78,43.01,0.040,  37.3
 18.98,43.00,0.049,  37.7
 19.09,42.99,0.090,  37.9
 19.31,42.98,0.045,  38.4
 19.48,42.97,0.059,  38.7
 19.77,42.96,0.034,  39.2
 19.88,42.95,0.092,  39.5
 20.19,42.94,0.032,  40.0
 20.30,42.93,0.093,  40.3
 20.52,42.92,0.045,  40.7
 20.69,42.91,0.060,  41.0
 20.90,42.90,0.049,  41.4
 21.08,42.89,0.055,  41.7
 21.28,42.88,0.049,  42.1
 21.55,42.87,0.037,  42.6
 21.71,42.86,0.061,  42.9
 21.98,42.85,0.037,  43.5
 22.18,42.84,0.051,  43.8
 22.39,42.83,0.046,  44.2
 22.65,42.82,0.040,  44.7
 22.73,42.81,0.114,  44.9
 23.08,42.80,0.029,  45.5
 23.22,42.79,0.072,  45.8
 23.53,42.78,0.032,  46.4
 23.70,42.77,0.057,  46.7
 23.99,42.76,0.034,  47.3
 24.16,42.75,0.060,  47.6
 24.35,42.74,0.054,  47.9
 24.70,42.73,0.028,  48.6
 24.88,42.72,0.056,  48.9
 25.07,42.71,0.053,  49.3
 25.31,42.70,0.041,  49.8
 25.62,42.69,0.033,  50.3
 25.78,42.68,0.063,  50.6
 26.18,42.67,0.025,  51.4
 26.32,42.66,0.068,  51.7
 26.47,42.65,0.069,  51.9
 26.88,42.64,0.025,  52.7
 27.09,42.63,0.046,  53.1
 27.35,42.62,0.039,  53.6
 27.54,42.61,0.054,  53.9
 27.85,42.60,0.032,  54.5
 28.06,42.59,0.047,  54.9
 28.37,42.58,0.032,  55.5
 28.59,42.57,0.045,  55.9
 28.76,42.56,0.057,  56.3
 29.05,42.55,0.035,  56.8
 29.24,42.54,0.052,  57.1
 29.59,42.53,0.029,  57.8
 29.90,42.52,0.032,  58.4
 30.16,42.51,0.039,  58.9
 30.43,42.50,0.036,  59.4
 30.67,42.49,0.042,  59.8
 30.90,42.48,0.043,  60.3
 31.10,42.47,0.051,  60.6
 31.34,42.46,0.041,  61.1
 31.58,42.45,0.043,  61.5
 32.00,42.44,0.024,  62.3
 32.10,42.43,0.101,  62.5
 32.46,42.42,0.027,  63.2
 32.71,42.41,0.040,  63.6
 32.94,42.40,0.045,  64.0
 33.24,42.39,0.033,  64.6
 33.46,42.38,0.044,  65.0
 33.82,42.37,0.028,  65.7
 34.05,42.36,0.043,  66.1
 34.29,42.35,0.041,  66.6
 34.52,42.34,0.043,  67.0
