"time (m)","v","V/min","wh"
0,46.28,0.000,0
  0.01,45.27,103.773,   0.0
  0.02,45.26,1.070,   0.0
  0.03,45.24,1.876,   0.1
  0.04,45.21,3.063,   0.1
  0.05,45.20,1.111,   0.1
  0.06,45.19,1.001,   0.1
  0.07,45.18,0.950,   0.1
  0.08,45.17,1.086,   0.2
  0.09,45.16,0.935,   0.2
  0.10,45.15,0.990,   0.2
  0.11,45.14,1.103,   0.2
  0.12,45.13,1.075,   0.2
  0.13,45.12,1.104,   0.3
  0.14,45.11,1.022,   0.3
  0.15,45.10,0.972,   0.3
  0.17,45.09,0.508,   0.4
  0.18,45.08,0.893,   0.4
  0.20,45.07,0.494,   0.4
  0.21,45.06,0.997,   0.4
  0.23,45.05,0.518,   0.5
  0.24,45.04,1.041,   0.5
  0.25,45.03,1.010,   0.5
  0.27,45.02,0.508,   0.6
  0.29,45.01,0.507,   0.6
  0.30,45.00,1.033,   0.6
  0.32,44.99,0.502,   0.7
  0.34,44.98,0.500,   0.7
  0.35,44.97,1.020,   0.7
  0.36,44.96,0.534,   0.8
  0.38,44.95,0.494,   0.8
  0.39,44.94,0.938,   0.8
  0.42,44.93,0.335,   0.9
  0.44,44.92,0.934,   0.9
  0.46,44.91,0.494,   1.0
  0.48,44.90,0.354,   1.0
  0.51,44.89,0.471,   1.1
  0.51,44.88,1.156,   1.1
  0.53,44.87,0.507,   1.1
  0.55,44.86,0.487,   1.2
  0.57,44.85,0.503,   1.2
  0.60,44.84,0.346,   1.3
  0.62,44.83,0.483,   1.3
  0.65,44.82,0.467,   1.4
  0.66,44.81,0.507,   1.4
  0.69,44.80,0.487,   1.4
  0.71,44.79,0.503,   1.5
  0.73,44.78,0.350,   1.5
  0.75,44.77,0.483,   1.6
  0.77,44.76,0.529,   1.6
  0.80,44.75,0.357,   1.7
  0.81,44.74,1.022,   1.7
  0.85,44.73,0.266,   1.8
  0.87,44.72,0.535,   1.8
  0.90,44.71,0.337,   1.9
  0.92,44.70,0.528,   1.9
  0.95,44.69,0.343,   2.0
  0.97,44.68,0.480,   2.0
  0.99,44.67,0.492,   2.1
  1.02,44.66,0.327,   2.1
  1.04,44.65,0.514,   2.2
  1.07,44.64,0.338,   2.2
  1.09,44.63,0.511,   2.3
  1.11,44.62,0.361,   2.3
  1.14,44.61,0.318,   2.4
  1.16,44.60,0.520,   2.4
  1.19,44.59,0.341,   2.5
  1.21,44.58,0.481,   2.5
  1.25,44.57,0.261,   2.6
  1.27,44.56,0.532,   2.6
  1.30,44.55,0.327,   2.7
