"time (m)","v","V/min","wh"
0,46.18,0.000,0
  0.01,45.22,101.828,   0.0
  0.02,45.20,1.923,   0.0
  0.03,45.18,1.838,   0.1
  0.04,45.17,0.915,   0.1
  0.06,45.16,0.531,   0.1
  0.07,45.15,1.103,   0.1
  0.09,45.14,0.504,   0.2
  0.10,45.13,1.019,   0.2
  0.12,45.12,0.542,   0.2
  0.14,45.11,0.551,   0.3
  0.15,45.10,0.536,   0.3
  0.18,45.09,0.335,   0.4
  0.20,45.08,0.503,   0.4
  0.23,45.07,0.471,   0.5
  0.26,45.06,0.333,   0.5
  0.29,45.05,0.255,   0.6
  0.31,45.04,0.957,   0.6
  0.33,45.03,0.503,   0.7
  0.37,45.02,0.202,   0.8
  0.40,45.01,0.346,   0.8
  0.45,45.00,0.206,   1.0
  0.46,44.99,0.988,   1.0
  0.50,44.98,0.250,   1.1
  0.53,44.97,0.341,   1.1
  0.56,44.96,0.339,   1.2
  0.60,44.95,0.255,   1.3
  0.65,44.94,0.202,   1.4
  0.68,44.93,0.339,   1.4
  0.71,44.92,0.328,   1.5
  0.77,44.91,0.173,   1.6
  0.80,44.90,0.343,   1.7
  0.85,44.89,0.198,   1.8
  0.88,44.88,0.270,   1.9
  0.91,44.87,0.468,   1.9
  0.96,44.86,0.173,   2.0
  1.00,44.85,0.254,   2.1
  1.05,44.84,0.206,   2.2
  1.09,44.83,0.260,   2.3
  1.13,44.82,0.254,   2.4
  1.18,44.81,0.203,   2.5
  1.23,44.80,0.202,   2.6
  1.26,44.79,0.325,   2.6
  1.30,44.78,0.257,   2.7
  1.37,44.77,0.146,   2.9
  1.41,44.76,0.251,   2.9
  1.47,44.75,0.167,   3.1
  1.49,44.74,0.349,   3.1
  1.58,44.73,0.115,   3.3
  1.63,44.72,0.202,   3.4
  1.68,44.71,0.202,   3.5
  1.75,44.70,0.146,   3.6
  1.76,44.69,0.988,   3.7
  1.83,44.68,0.146,   3.8
  1.88,44.67,0.199,   3.9
  1.96,44.66,0.126,   4.1
  2.00,44.65,0.254,   4.2
  2.05,44.64,0.204,   4.3
  2.10,44.63,0.170,   4.4
  2.17,44.62,0.142,   4.5
  2.22,44.61,0.199,   4.6
  2.27,44.60,0.247,   4.7
  2.33,44.59,0.146,   4.9
  2.39,44.58,0.166,   5.0
  2.46,44.57,0.145,   5.1
  2.52,44.56,0.170,   5.2
  2.61,44.55,0.112,   5.4
  2.66,44.54,0.209,   5.5
  2.73,44.53,0.144,   5.7
  2.78,44.52,0.206,   5.8
  2.84,44.51,0.148,   5.9
  2.92,44.50,0.128,   6.1
  2.97,44.49,0.203,   6.2
  3.06,44.48,0.115,   6.3
  3.14,44.47,0.128,   6.5
  3.20,44.46,0.171,   6.6
  3.29,44.45,0.110,   6.8
  3.35,44.44,0.149,   6.9
  3.43,44.43,0.128,   7.1
  3.51,44.42,0.127,   7.3
  3.57,44.41,0.167,   7.4
  3.64,44.40,0.144,   7.5
  3.71,44.39,0.144,   7.7
  3.80,44.38,0.114,   7.9
  3.91,44.37,0.087,   8.1
  3.98,44.36,0.146,   8.2
  4.02,44.35,0.254,   8.3
  4.13,44.34,0.093,   8.5
  4.18,44.33,0.199,   8.6
  4.26,44.32,0.128,   8.8
  4.31,44.31,0.170,   8.9
  4.44,44.30,0.078,   9.2
  4.52,44.29,0.128,   9.3
  4.63,44.28,0.092,   9.5
  4.70,44.27,0.147,   9.7
  4.76,44.26,0.163,   9.8
  4.86,44.25,0.094,  10.0
  4.95,44.24,0.115,  10.2
  5.04,44.23,0.113,  10.4
  5.13,44.22,0.113,  10.6
  5.25,44.21,0.080,  10.8
  5.33,44.20,0.126,  11.0
  5.39,44.19,0.169,  11.1
  5.49,44.18,0.102,  11.3
  5.57,44.17,0.128,  11.4
  5.73,44.16,0.063,  11.8
  5.78,44.15,0.201,  11.9
  5.90,44.14,0.079,  12.1
